"","b"
"212",0.0156832480884538
"213",0.0159025960818115
"214",0.0159839064881965
"215",0.0160842238274913
"216",0.016363164620469
"217",0.0168140836438939
"218",0.0168758354336227
"219",0.0170642835113826
"220",0.0172138947824951
"221",0.0172618804267936
"222",0.0174387020616675
"223",0.0178210514380963
"224",0.0179799737814341
"225",0.0182979613874544
"226",0.0183412813260997
"227",0.0184222384853826
"228",0.0184589409121861
"229",0.0185162823340462
"230",0.01883527797725
"231",0.0192431489271541
"232",0.0197946062147078
"233",0.0197974584827324
"234",0.0200915357237188
"235",0.0202695134673541
"236",0.0205333927617451
"237",0.020621217342858
"238",0.0207875015879903
"239",0.0208855986020603
"240",0.0210460163843864
"241",0.0210485838405412
"242",0.0211014802548246
"243",0.0211955583267783
"244",0.0212112801677772
"245",0.0212434126533435
"246",0.0218763237154192
"247",0.0225817799869948
"248",0.022583881491165
"249",0.0229129524251625
"250",0.0229679715268583
"251",0.0232991161474064
"252",0.0236219502820209
"253",0.0237618169792088
"254",0.0240110753824503
"255",0.024169853286598
"256",0.0247036158075113
"257",0.0253822091970887
"258",0.0254407393923347
"259",0.0255485034324502
"260",0.0255586856788697
"261",0.0256107199748927
"262",0.0257283675827817
"263",0.025753088812847
"264",0.0259119850665362
"265",0.0261593035304559
"266",0.0262416678348843
"267",0.0262900590874644
"268",0.0263673244102554
"269",0.0266252042249934
"270",0.0266708172939211
"271",0.0266914658498785
"272",0.0270819607360457
"273",0.0272974038572552
"274",0.0277763785047988
"275",0.0282892905229888
"276",0.028779068449812
"277",0.0288216122216823
"278",0.0293148703879129
"279",0.0298317114149538
"280",0.0299140872213783
"281",0.0312315178086356
"282",0.0312320014401192
"283",0.0336693352719091
"284",0.0338200113794411
"285",0.0345102351621136
"286",0.0350713308763771
"287",0.0351042343884147
"288",0.0351502837294788
"289",0.0353798700959649
"290",0.0356233026384926
"291",0.0358999635599526
"292",0.0361757132010746
"293",0.0374665502388194
"294",0.037756223490561
"295",0.0378756930914798
"296",0.0382033965695353
"297",0.038619974719891
"298",0.0390200784501333
"299",0.0394944713856139
"300",0.039632905460078
"301",0.0397420468725204
"302",0.0400967460743259
"303",0.0401634160591555
"304",0.0402936644684408
"305",0.0413535038804356
"306",0.0418229456234147
"307",0.042453749131353
"308",0.0431098550469327
"309",0.0432998071399945
"310",0.0433875411870472
"311",0.0437966857504896
"312",0.0455152438138093
"313",0.0468473753222735
"314",0.0470013383311921
"315",0.0474720499800346
"316",0.0506900586075681
"317",0.0507202271421547
"318",0.0508886079560174
"319",0.0517921369458009
"320",0.053324547380846
"321",0.0540498357435752
"322",0.0542731695958827
"323",0.0546462897751117
"324",0.0552481564523324
"325",0.0558158049939327
"326",0.0561789584001714
"327",0.0584167313293286
"328",0.0587482445046041
"329",0.059374336947259
"330",0.0595736623875234
"331",0.0596701212543139
"332",0.0617406662829081
"333",0.061971056938613
"334",0.061986354084607
"335",0.0622877765931627
"336",0.0632111231280165
"337",0.065839931023004
"338",0.0661446608415121
"339",0.0661728588708416
"340",0.0662479634496156
"341",0.0667968001743984
"342",0.0669424983292023
"343",0.0670050849577462
"344",0.068768069720289
"345",0.0696259935301943
"346",0.0700885959200048
"347",0.0704981385172669
"348",0.0725429032639895
"349",0.0729654167216046
"350",0.072981922932816
"351",0.0763996875494701
"352",0.0765920266329706
"353",0.0771610229913024
"354",0.0772263321649583
"355",0.0786524702725411
"356",0.0794985492011657
"357",0.0806053120350427
"358",0.0807002002513417
"359",0.0809770498133538
"360",0.0826754975116052
"361",0.0841237750854759
"362",0.0876974329032001
"363",0.0879914766549873
"364",0.100634748926006
"365",0.102017765729433
"366",0.102381212067669
"367",0.102990792558478
"368",0.106151575175893
"369",0.106363535511628
"370",0.108458038865803
"371",0.110581165888421
"372",0.110921204750794
"373",0.111325099124252
"374",0.111823181480875
"375",0.116210332329051
"376",0.121306566253532
"377",0.122048046203226
"378",0.123597796240125
"379",0.130575272091196
"380",0.133223178443055
"381",0.154473900281112
"382",0.166445828839055
"383",0.173982146455756
"384",0.184581739439954
"385",0.200644853999523
"386",0.207529808705088
