"","b"
"1",5.01965651965922e-05
"2",9.36414689175119e-05
"3",0.000119598627150239
"4",0.000270591243514419
"5",0.000285440497788878
"6",0.000296511055445505
"7",0.000334763690395999
"8",0.000348411826299035
"9",0.000371479309159883
"10",0.000379420250416226
"11",0.000437169718816287
"12",0.000623157914902306
"13",0.000636324196703823
"14",0.00067067353611526
"15",0.000807531335720657
"16",0.000837059766477758
"17",0.000845114684063239
"18",0.000949051209905645
"19",0.000965285128337246
"20",0.0010069964553988
"21",0.00104995498120735
"22",0.00106400996665532
"23",0.00109510582926426
"24",0.00113957303121614
"25",0.00121028759100309
"26",0.00126886382442555
"27",0.00127795544549207
"28",0.00139066811067509
"29",0.00140835007643194
"30",0.00142444198537576
"31",0.00146323069626295
"32",0.00147524650350708
"33",0.00147537453536133
"34",0.00148920355146775
"35",0.00149325078517571
"36",0.00151124427139307
"37",0.0015599889709892
"38",0.00163238422001892
"39",0.00184507055222305
"40",0.00192616431943965
"41",0.00197069184724499
"42",0.00205123549341684
"43",0.00205231538279498
"44",0.00215857723069413
"45",0.00223873581166473
"46",0.00227039514393742
"47",0.002292046798279
"48",0.00230384390447679
"49",0.00230901708008458
"50",0.00237839735537656
"51",0.00239575723511398
"52",0.00246093393548159
"53",0.00248279102822771
"54",0.00261256723365168
"55",0.00262139515734922
"56",0.00264732831769854
"57",0.00265152958149907
"58",0.00266525805579686
"59",0.00270517666514283
"60",0.00276135110652812
"61",0.00277088051311332
"62",0.00279613291941944
"63",0.00279690268440627
"64",0.00280795916402495
"65",0.00287769982761517
"66",0.00294150629920989
"67",0.00295722906894273
"68",0.00299137709977941
"69",0.00300077212855543
"70",0.00308019449433591
"71",0.00315790597283744
"72",0.0032201896590949
"73",0.00335741991785071
"74",0.00335848246464955
"75",0.00340802919958551
"76",0.00343680803576507
"77",0.00343966790622525
"78",0.00352134417659321
"79",0.00355316329345258
"80",0.00374617135740843
"81",0.0037478102599751
"82",0.00379669596885643
"83",0.00381006378992377
"84",0.00381920746467603
"85",0.00385049670009033
"86",0.00385802306103611
"87",0.00395480064369952
"88",0.00396602314317467
"89",0.00408978846096265
"90",0.00414876873047555
